ID,IP/CIDR,Scanner Name,Scanner Type,Source File,Country Code,Country Name,ISP,Organization,Abuse Confidence Score,Abuse Reports,Usage Type,Domain,Last Seen,First Seen,Tags,Notes,Risk Level,Export Date
scanner_125,104.237.153.151,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_126,104.237.153.170,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_127,104.237.153.176,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_128,104.237.153.242,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_129,104.237.154.131,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_130,104.237.154.134,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_131,104.237.154.136,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_132,104.237.154.137,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_133,104.237.154.144,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_134,104.237.154.164,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_135,104.237.154.187,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_136,104.237.154.191,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_137,104.237.154.220,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_138,104.237.154.233,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_139,104.237.154.252,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_140,104.248.114.90,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_141,104.248.116.237,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_142,104.248.123.227,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_143,104.248.125.0,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_144,104.248.127.123,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_145,104.248.177.112,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_146,104.248.177.72,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_147,104.248.177.73,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_148,104.248.178.183,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_149,104.248.178.50,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_150,104.248.179.236,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_151,104.248.182.66,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_152,104.248.183.203,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_153,104.248.184.99,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_154,104.248.185.170,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_155,104.248.185.78,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
scanner_156,104.248.186.220,,,,,,,,0,0,,,2025-08-13 18:07:18,2025-08-13 18:07:18,"extracted, ",,unknown,2025-08-13 18:07:18
